project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
LbBHuNTc03JCbeItZqHAeUPmIGvguQBnGxv3l8120SM=,OSS_DIRECTORY,oso,appcalipse,Meetwithwallet,GITHUB,1,2022-02-05 10:46:23+00:00,2023-08-28 14:30:50+00:00,4,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qRimrP4QhrbeTj4iG3cylwaCx6EKsDTNZvDLtjKHP3c=,OSS_DIRECTORY,oso,ikigai-labs-xyz,Ikigai Labs,GITHUB,15,2023-05-13 12:20:39+00:00,2023-09-05 15:45:56+00:00,5,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x_JmF4hFps6iYhuOxeXa7A0Y6G2bL3tlAAG-G8i4QAw=,OSS_DIRECTORY,oso,ecoland-world,ecoland-world,GITHUB,8,2022-08-27 10:11:01+00:00,2024-06-01 12:22:08+00:00,0,4,5.0,2.0,0.0,0.08152173913043478,2.0,53.0,0.0,0.0,0.0,0.0
60fHRPaIQPPWZ8pqPdTVRzN9QVqdlPbOr0KQWXwKSUg=,OSS_DIRECTORY,oso,givestation,GiveStation,GITHUB,8,2022-07-30 09:13:41+00:00,2024-06-29 07:55:47+00:00,12,11,6.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0
osjJpCRZGsxF_YOBfaER3HwdVM5qLfBO72PWnozrjEs=,OSS_DIRECTORY,oso,hvax,Event Horizon,GITHUB,3,2024-04-21 07:59:20+00:00,2024-08-18 13:23:24+00:00,1,0,2.0,2.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Zdo50Upb2rT-8blEHKzIvhvWRy35zUxolnd_9njr0y4=,OSS_DIRECTORY,oso,whynotswitch,Switch Electric,GITHUB,61,2021-06-17 23:22:27+00:00,2024-08-20 20:17:07+00:00,24,6,5.0,2.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0
wYRGc7nxhaIU7-Fm1c7FTo0Q-xQvC-VYsbp8yDGI5n8=,OSS_DIRECTORY,oso,seroxdesign,Metalinks,GITHUB,89,2021-01-26 16:50:45+00:00,2024-07-11 08:17:54+00:00,124,8,10.0,3.0,2.0,0.0,2.0,151.0,12.0,12.0,9.0,4.0
v3-fakk4iW19fhvH7bV4KEdMk_wuW4T7aCj665T3NYI=,OSS_DIRECTORY,oso,solide-project,Solide Smart Contract Knowledge Hub,GITHUB,18,2023-12-21 09:59:53+00:00,2024-09-18 00:11:38+00:00,23,3,4.0,3.0,2.0,0.3858695652173913,2.0,168.0,7.0,6.0,7.0,8.0
xqhkpFKo7T4vtFXIoLk1iv3X8ySWCTNu_SDQI5Jf9Z8=,OSS_DIRECTORY,oso,rankify-it,Rankify,GITHUB,1,2024-06-29 20:52:51+00:00,2024-07-29 22:40:50+00:00,0,0,3.0,3.0,3.0,0.0,2.0,38.0,31.0,25.0,0.0,0.0
7RGgPqhlPz6J-4Xij7BiX9QGtuCWh5flMVMA7ufvEqQ=,OSS_DIRECTORY,oso,arbitrumhub,ArbitrumHub,GITHUB,2,2024-04-15 06:13:44+00:00,2024-08-12 06:37:28+00:00,4,1,3.0,3.0,3.0,0.03804347826086957,2.0,191.0,16.0,36.0,1.0,1.0
